time,height,zeta,shear,metric_det,condition_number,capacity_damping,u_tendency
5.0,0.3713755120762506,0.8,0.0,0.33786932946913123,3.5468170730351507,0.9515514631814659,-0.010134191350447175
5.0,1.4971755441767614,0.8,0.00705168052055939,0.33798904163331933,3.545765452167388,0.9515514631814659,-0.0019473597769477991
5.0,3.2796094477199516,0.8,0.020731215583343263,0.33890404098117505,3.537753632640816,0.9516965713763568,0.0007377908225203456
5.0,5.566596934084805,0.8,0.02689035750683938,0.33961023738653,3.5316014701437006,0.9518080279432842,0.0007253528764000095
5.0,8.289928060180161,0.8,0.025712928091446922,0.3394611092869167,3.5328983618138996,0.9517845304409274,0.0004643822833921618
5.0,11.406269766435727,0.8,0.023709000096920188,0.33922265427889464,3.534974602774555,0.9517469148516411,0.00030847134766105456
5.0,14.884584669074052,0.8,0.021732067648763686,0.3390063641499902,3.536860537681908,0.9517127496443692,0.00021935339933172316
5.0,18.70109260378885,0.8,0.019795805137046117,0.3388127697564957,3.5385507479194396,0.9516821322289715,0.0001633330370497177
5.0,22.836754230877155,0.8,0.017903465794146547,0.3386410128742257,3.540052020896243,0.9516549389809128,0.00012525530250151462
5.0,27.275842503994657,0.8,0.016074261521127575,0.33849137799426626,3.5413612517796773,0.9516312255481658,9.793401072073493e-5
5.0,32.00505900686991,0.8,0.014328810403891301,0.33836361755550304,3.542480065732942,0.9516109619768197,7.756936418310545e-5
5.0,37.01295223591009,0.8,0.012684159104719931,0.3382566595959944,3.5434174002277223,0.9515939859629934,6.197000984045075e-5
5.0,42.289516044382495,0.8,0.01115265306807001,0.33816877145563573,3.5441880862565776,0.9515800285641479,4.9783853119933497e-5
5.0,47.82590185828014,0.8,0.009742016748585774,0.3380978118718711,3.544810637270783,0.951568754242199,4.0129328604088244e-5
5.0,53.6142060530465,0.8,0.0084558444245703,0.338041463980759,3.545305192998053,0.9515597980894928,3.240437900995374e-5
5.0,59.64730884488007,0.8,0.007294228694228375,0.33799741849710396,3.5456918945690434,0.9515527952381542,2.6181314964368597e-5
5.0,65.91874958842811,0.8,0.006254415875981678,0.3379635023963711,3.5459897371989815,0.9515474016203258,2.1146003834005e-5
5.0,72.42262847991273,0.8,0.0053314362957441975,0.3379377585233077,3.546215855777918,0.9515433068907103,1.7061182784594563e-5
5.0,79.15352784330068,0.8,0.004518682748903723,0.33791848534498764,3.546385163646495,0.9515402409563242,1.3743487107298335e-5
5.0,86.10644822334854,0.8,0.0038084233855149373,0.3379042468711239,3.5465102566399374,0.9515379757056626,1.10485697518925e-5
5.0,93.27675586560949,0.8,0.0031922429823814237,0.33789386204600264,3.5466015002247855,0.9515363234249528,8.861151034267323e-6
5.0,100.6601390856064,0.8,0.002661411439187393,0.33788638146380245,3.546667230119692,0.9515351331614054,7.088464711202391e-6
5.0,108.25257167054073,0.8,0.0022071360756809742,0.33788105707254595,3.5467140160186883,0.9515342859452195,5.726145558426765e-6
5.0,116.05028191168671,0.8,0.0018095777089321833,0.3378772127220067,3.546747797641927,0.9515336742161574,2.2429082827635228e-5
10.0,0.3713755120762506,0.8,0.0,0.33786932946913123,3.5468170730351507,0.9515603626429582,-0.0006786555910190728
10.0,1.4971755441767614,0.8,0.008542625698074067,0.33804501532727205,3.545274018271458,0.9515603626429582,-0.004189869679323621
10.0,3.2796094477199516,0.8,0.011229627765864567,0.3381729192210966,3.544151705174213,0.951580687429317,-0.000802679226650227
10.0,5.566596934084805,0.8,0.024026260635335736,0.33925911760788885,3.5346569136520367,0.9517526702835788,0.0005073515143228846
10.0,8.289928060180161,0.8,0.025781611428453147,0.3394696250138826,3.5328242722382845,0.951785872788553,0.0004699420204202553
10.0,11.406269766435727,0.8,0.02395281026959034,0.33925063269735145,3.534730832507087,0.9517513311224837,0.0003179828585199829
10.0,14.884584669074052,0.8,0.02186833287857905,0.33902066850182677,3.536735732373255,0.9517150105157731,0.00022318818260433915
10.0,18.70109260378885,0.8,0.01987212557325889,0.33882005872106746,3.538487073138796,0.9516832856339207,0.00016493267252695176
10.0,22.836754230877155,0.8,0.01795051795897239,0.3386450744647863,3.540016501130658,0.9516555823488179,0.00012601430601861808
